,RT,Intervals
0,0.5348745700030122,1.9605
1,0.48368673500954174,1.9591
2,0.313758403994143,1.8873
3,0.2961801429919433,1.7346
4,0.3109528289933223,1.3497
5,0.28327273699687794,1.3988
6,0.4050621950009372,1.9721
7,0.27840254700277,1.7179
8,0.32737001599161886,1.7099
9,0.41218608198687434,1.1815
10,0.29912240800331347,1.9941
11,0.2785849909996614,1.313
12,0.291914875007933,1.0134
13,0.40123845599009655,1.2718
14,0.3097728879947681,1.8257
15,0.3602734770101961,1.5681
16,0.273312863020692,1.3379
17,0.28692889798549004,1.0388
18,0.2919998880242929,1.3468
19,0.30230723301065154,1.8274
20,0.307642625994049,1.706
21,0.31655596700147726,1.8321
22,0.2917987079999875,1.3084
23,0.31748073297785595,1.4738
24,0.2826738659932744,1.1869
25,0.2809131419926416,1.504
26,0.2829326650244184,1.1541
27,0.3175421920022927,1.0176
28,0.3187890200060792,1.1912
29,0.3336574829882011,1.3325
30,0.32796002199756913,1.4005
31,0.28961748199071735,1.0318
32,0.3049523340014275,1.9615
33,0.30927407697890885,1.0462
34,0.27888881901162677,1.9067
35,0.2877692189940717,1.9458
36,0.2653457059932407,1.3652
37,0.2700234560179524,1.9494
38,0.29391807300271466,1.0613
39,0.29254466798738576,1.7544
40,0.289438631007215,1.4416
41,0.29177673399681225,1.1315
42,0.3887199400051031,1.182
43,0.3099477020150516,1.8544
44,0.252168745995732,1.4245
45,0.2689315329771489,1.2912
46,0.2402429560024757,1.746
47,0.2606721520132851,1.153
48,0.24505153999780305,1.4644
49,0.2931008260056842,1.9663
