,RT,Intervals
0,0.2310198999766726,1.999
1,0.22042230001534335,1.9569
2,0.22862829998484813,1.4605
3,0.20317970000905916,1.1835
4,0.23172509999130853,1.8566
5,0.2504371000104584,1.7953
6,0.22635009998339228,1.3416
7,0.2518284000107087,1.0298
8,0.21641260001342744,1.3699
9,0.2182508000114467,1.2149
10,0.2318985000019893,1.3301
11,0.21204449998913333,1.3603
12,0.2378164999827277,1.133
13,0.2250734000117518,1.9295
14,0.10296650000964291,1.7204
15,0.25613660001545213,1.0003
16,0.2112502000236418,1.5725
17,0.18374270002823323,1.6803
18,0.2872477000055369,1.8352
19,0.2390124000085052,1.3796
20,0.24726030000601895,1.8361
21,0.2555469999788329,1.0231
22,0.21078829999896698,1.8724
23,0.19799159999820404,1.8667
24,0.24207310000201687,1.3976
25,0.23034270000061952,1.818
26,0.2572352999995928,1.8149
27,0.2207802999764681,1.4699
28,0.25744220000342466,1.2324
29,0.25305800000205636,1.0234
30,0.21859740000218153,1.8039
31,0.25275889999466017,1.0631
32,0.23284439998678863,1.4177
33,0.23571449998416938,1.5523
34,0.23772179998923093,1.6534
35,0.25774950001505204,1.1223
36,0.21870399999897927,1.9397
37,0.24423579999711365,1.6071
38,0.2301525000075344,1.6643
39,0.25005410000449046,1.0599
40,0.22066340001765639,1.8596
41,0.23265069999615662,1.9166
42,0.26899690000573173,1.3306
43,0.2758845000062138,1.8877
44,0.25172339999699034,1.7532
45,0.26168530000722967,1.0528
46,0.25334250001469627,1.3436
47,0.20667729998240247,1.8678
48,0.28218559999368154,1.0573
49,0.23021750000771135,1.0003
